ID,Name,Age,Nationality,Overall,Club,Position,Club Logo,Value,Wage,Year,Value_spread,Wage_spread
200678,Javi Álamo,27,Spain,67,CA Osasuna,Defense,https://cdn.sofifa.org/teams/2/light/479.png,621K,3K,2017,621000,3000
229865,Óscar Pinchi,20,Spain,67,Deportivo de La Coruña,Forward,https://cdn.sofifa.org/teams/2/light/242.png,1.4M,1K,2017,1400000,1000
223978,Manu García,18,Spain,67,Deportivo Alavés,Midfield,https://cdn.sofifa.org/teams/2/light/463.png,1M,1K,2017,1000000,1000
225009,Borja Fernández,20,Spain,67,RC Celta,Midfield,https://cdn.sofifa.org/teams/2/light/450.png,1.1M,2K,2017,1100000,2000
222466,José Carlos,20,Spain,66,Real Betis,Defense,https://cdn.sofifa.org/teams/2/light/449.png,1.2M,1K,2017,1200000,1000
193794,Villalibre,18,Spain,66,Athletic Club de Bilbao,Forward,https://cdn.sofifa.org/teams/2/light/448.png,1.3M,2K,2017,1300000,2000
224010,José Suarez,20,Spain,66,FC Barcelona,GK,https://cdn.sofifa.org/teams/2/light/241.png,1M,4K,2017,1000000,4000
211234,E. Fernández,21,France,66,Real Madrid,Midfield,https://cdn.sofifa.org/teams/2/light/243.png,1M,5K,2017,1000000,5000
210747,Salva Ruíz,21,Spain,66,Valencia CF,Defense,https://cdn.sofifa.org/teams/2/light/461.png,837K,5K,2017,837000,5000
212083,Tarsi,21,Spain,66,Athletic Club de Bilbao,Midfield,https://cdn.sofifa.org/teams/2/light/448.png,1M,5K,2017,1000000,5000
235398,Jean Carlos,20,Brazil,66,Granada CF,Forward,https://cdn.sofifa.org/teams/2/light/110832.png,1.2M,1K,2017,1200000,1000
