ID,Name,Age,Nationality,Overall,Club,Position,Club Logo,Value,Wage,Year,Value_spread,Wage_spread
168930,Omar Ramos,28,Spain,74,CD Leganés,Midfield,https://cdn.sofifa.org/teams/2/light/100888.png,3.5M,16K,2017,3500000,16000
212196,P. Sisto,21,Denmark,74,RC Celta,Midfield,https://cdn.sofifa.org/teams/2/light/450.png,5.4M,11K,2017,5400000,11000
206590,Moi Gómez,22,Spain,74,Real Sporting de Gijón,Midfield,https://cdn.sofifa.org/teams/2/light/459.png,4.8M,1K,2017,4800000,1000
172287,Manu García,30,Spain,74,Deportivo Alavés,Midfield,https://cdn.sofifa.org/teams/2/light/463.png,2.6M,3K,2017,2600000,3000
200735,Isaac Cuenca,25,Spain,73,Granada CF,Forward,https://cdn.sofifa.org/teams/2/light/110832.png,3.9M,11K,2017,3900000,11000
210463,D. Machís,23,Venezuela,73,CD Leganés,Forward,https://cdn.sofifa.org/teams/2/light/100888.png,4.3M,11K,2017,4300000,11000
190501,N. Krstičić,25,Serbia,73,Deportivo Alavés,Midfield,https://cdn.sofifa.org/teams/2/light/463.png,3.8M,5K,2017,3800000,5000
202541,Jota,25,Spain,73,SD Eibar,Midfield,https://cdn.sofifa.org/teams/2/light/467.png,3.8M,5K,2017,3800000,5000
197688,Gabriel Silva,25,Brazil,73,Granada CF,Midfield,https://cdn.sofifa.org/teams/2/light/110832.png,3.8M,5K,2017,3800000,5000
183353,Víctor Díaz,28,Spain,73,CD Leganés,Defense,https://cdn.sofifa.org/teams/2/light/100888.png,2.4M,16K,2017,2400000,16000
208450,Andreas Pereira,20,Brazil,73,Granada CF,Midfield,https://cdn.sofifa.org/teams/2/light/110832.png,5.9M,1K,2017,5900000,1000
226385,C. Espinoza,21,Argentina,73,Deportivo Alavés,Midfield,https://cdn.sofifa.org/teams/2/light/463.png,5M,1K,2017,5000000,1000
159581,Oriol Riera,29,Spain,73,CA Osasuna,Forward,https://cdn.sofifa.org/teams/2/light/479.png,3M,9K,2017,3000000,9000
225121,Castro,21,Spain,73,Real Sporting de Gijón,Forward,https://cdn.sofifa.org/teams/2/light/459.png,4.4M,4K,2017,4400000,4000
226161,Marcos Llorente,21,Spain,73,Deportivo Alavés,Midfield,https://cdn.sofifa.org/teams/2/light/463.png,5.3M,1K,2017,5300000,1000
189553,Lillo,27,Spain,73,Real Sporting de Gijón,Defense,https://cdn.sofifa.org/teams/2/light/459.png,2.8M,16K,2017,2800000,16000
190094,Javi Castellano,28,Spain,73,UD Las Palmas,Midfield,https://cdn.sofifa.org/teams/2/light/472.png,2.5M,16K,2017,2500000,16000
193169,C. Santos,28,Venezuela,73,Deportivo Alavés,Forward,https://cdn.sofifa.org/teams/2/light/463.png,3.2M,22K,2017,3200000,22000
193429,Douglas,25,Brazil,73,Real Sporting de Gijón,Defense,https://cdn.sofifa.org/teams/2/light/459.png,3.2M,5K,2017,3200000,5000
202646,Alex Martínez,25,Spain,73,Real Betis,Defense,https://cdn.sofifa.org/teams/2/light/449.png,3.2M,5K,2017,3200000,5000
224921,Marín,19,Spain,73,CD Leganés,Defense,https://cdn.sofifa.org/teams/2/light/100888.png,3.9M,1K,2017,3900000,1000
211101,Rubén Blanco,20,Spain,73,RC Celta,GK,https://cdn.sofifa.org/teams/2/light/450.png,4.8M,6K,2017,4800000,6000
189860,Kiko Femenía,25,Spain,73,Deportivo Alavés,Midfield,https://cdn.sofifa.org/teams/2/light/463.png,3.8M,5K,2017,3800000,5000
224422,J. Boga,19,France,73,Granada CF,Midfield,https://cdn.sofifa.org/teams/2/light/110832.png,4.9M,1K,2017,4900000,1000
192678,Kike,26,Spain,73,SD Eibar,Forward,https://cdn.sofifa.org/teams/2/light/467.png,3.9M,22K,2017,3900000,22000
201403,Álvaro,25,Spain,73,RCD Espanyol,Forward,https://cdn.sofifa.org/teams/2/light/452.png,4.2M,11K,2017,4200000,11000
168379,Carmona,28,Spain,73,Real Sporting de Gijón,Midfield,https://cdn.sofifa.org/teams/2/light/459.png,3M,16K,2017,3000000,16000
236221,D. Brasanac,24,Serbia,73,Real Betis,Midfield,https://cdn.sofifa.org/teams/2/light/449.png,4.1M,5K,2017,4099999,5000
158144,Salva Sevilla,32,Spain,73,RCD Espanyol,Midfield,https://cdn.sofifa.org/teams/2/light/452.png,2.5M,11K,2017,2500000,11000
146121,David Barral,33,Spain,73,Granada CF,Forward,https://cdn.sofifa.org/teams/2/light/110832.png,2.1M,1K,2017,2100000,1000
164041,Nauzet,31,Spain,73,CA Osasuna,GK,https://cdn.sofifa.org/teams/2/light/479.png,2.5M,3K,2017,2500000,3000
236236,O. Atzili,22,Israel,73,Granada CF,Forward,https://cdn.sofifa.org/teams/2/light/110832.png,4.3M,4K,2017,4300000,4000
223952,David Soria,23,Spain,73,Sevilla FC,GK,https://cdn.sofifa.org/teams/2/light/481.png,4M,38K,2017,4000000,38000
220132,Zaldúa,24,Spain,73,Real Sociedad,Defense,https://cdn.sofifa.org/teams/2/light/457.png,3.6M,5K,2017,3600000,5000
225523,Lekue,23,Spain,73,Athletic Club de Bilbao,Defense,https://cdn.sofifa.org/teams/2/light/448.png,3.9M,38K,2017,3900000,38000
199157,Luna,25,Spain,73,SD Eibar,Defense,https://cdn.sofifa.org/teams/2/light/467.png,3.3M,5K,2017,3300000,5000
206585,Kepa Arrizabalaga,21,Spain,73,Athletic Club de Bilbao,GK,https://cdn.sofifa.org/teams/2/light/448.png,4M,32K,2017,4000000,32000
219652,Robert Ibáñez,23,Spain,72,CD Leganés,Midfield,https://cdn.sofifa.org/teams/2/light/100888.png,3.2M,3K,2017,3200000,3000
198150,Guerrero,25,Spain,72,CD Leganés,Forward,https://cdn.sofifa.org/teams/2/light/100888.png,2.9M,6K,2017,2900000,6000
221452,Nano,21,Spain,72,SD Eibar,Forward,https://cdn.sofifa.org/teams/2/light/467.png,3.6M,3K,2017,3600000,3000
225811,M. Moreno,19,Colombia,72,Deportivo de La Coruña,Forward,https://cdn.sofifa.org/teams/2/light/242.png,3.8M,1K,2017,3800000,1000
220702,G. Silva,22,Uruguay,72,Granada CF,Defense,https://cdn.sofifa.org/teams/2/light/110832.png,2.7M,1K,2017,2700000,1000
201509,Juankar,26,Spain,72,Málaga CF,Midfield,https://cdn.sofifa.org/teams/2/light/573.png,2.6M,9K,2017,2600000,9000
220715,E. Ponce,19,Argentina,72,Granada CF,Forward,https://cdn.sofifa.org/teams/2/light/110832.png,3.6M,1K,2017,3600000,1000
199986,Arbilla,29,Spain,72,SD Eibar,Defense,https://cdn.sofifa.org/teams/2/light/467.png,1.7M,2K,2017,1700000,2000
230964,M. Santos,23,Uruguay,72,Málaga CF,Forward,https://cdn.sofifa.org/teams/2/light/573.png,3.2M,6K,2017,3200000,6000
213559,Fausto,26,Spain,72,CA Osasuna,Midfield,https://cdn.sofifa.org/teams/2/light/479.png,2.3M,9K,2017,2300000,9000
193081,M. Saunier,26,France,72,Granada CF,Defense,https://cdn.sofifa.org/teams/2/light/110832.png,2.2M,9K,2017,2200000,9000
226637,Rubén Duarte,20,Spain,72,RCD Espanyol,Defense,https://cdn.sofifa.org/teams/2/light/452.png,2.7M,1K,2017,2700000,1000
224600,G. Čaušić,24,Serbia,72,CA Osasuna,Midfield,https://cdn.sofifa.org/teams/2/light/479.png,3.1M,3K,2017,3100000,3000
185181,Yoel,27,Spain,72,SD Eibar,GK,https://cdn.sofifa.org/teams/2/light/467.png,2.1M,9K,2017,2100000,9000
227950,Yeray,21,Spain,72,Athletic Club de Bilbao,Defense,https://cdn.sofifa.org/teams/2/light/448.png,2.7M,22K,2017,2700000,22000
